	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000101341	6405.525951	-1.145511628	0.375905801	-3.047336923	0.002308788	0.088490451
ENSDARG00000013979	3335.5344	-1.090219408	0.359039539	-3.036488437	0.002393513	0.090855678
ENSDARG00000087249	87.86390254	-1.887841269	0.621878521	-3.035707465	0.002399721	0.090872875
ENSDARG00000096689	1043.850877	-1.037692215	0.342412909	-3.030528894	0.002441258	0.091379054
ENSDARG00000100868	26.58883682	-3.424017183	1.130069076	-3.029918485	0.002446198	0.091379054
ENSDARG00000104041	273.9727431	-1.61075775	0.531652406	-3.029719669	0.002447808	0.091379054
ENSDARG00000038635	3197.829917	-1.013060128	0.334458756	-3.028953822	0.002454022	0.091394953
ENSDARG00000036987	10.16187046	-6.197130114	2.046448154	-3.028237046	0.002459851	0.091396469
ENSDARG00000001733	2190.537198	-0.98611789	0.326067208	-3.024278023	0.002492273	0.092176451
ENSDARG00000039322	275.9284814	-1.257575484	0.415953947	-3.023352689	0.002499907	0.092176451
ENSDARG00000038386	22.98955012	-3.878158565	1.282864229	-3.023046771	0.002502436	0.092176451
ENSDARG00000004261	12276.45248	-1.022338746	0.338382663	-3.021250367	0.002517331	0.092230108
ENSDARG00000011973	3869.815873	-1.066215383	0.352988586	-3.020537843	0.002523262	0.092233394
ENSDARG00000101533	653.0800185	-1.071756381	0.35507714	-3.018376176	0.002541332	0.09249484
ENSDARG00000034568	1214.609311	-1.120230457	0.371319905	-3.016887708	0.002553844	0.09249484
ENSDARG00000092765	161.3223998	-1.564797693	0.51938694	-3.012778283	0.00258868	0.093541971
ENSDARG00000098678	30.3599018	-2.97210972	0.986998919	-3.011259347	0.002601665	0.093605411
ENSDARG00000011683	4994.933138	-1.016568093	0.337608968	-3.011081432	0.00260319	0.093605411
ENSDARG00000098758	14.90792913	-5.389430383	1.790213769	-3.010495437	0.002608219	0.093605411
ENSDARG00000103677	168.3940256	-1.466863479	0.488201739	-3.004625677	0.002659079	0.094998898
ENSDARG00000044626	394.9602696	-1.209122913	0.402874996	-3.001235928	0.002688861	0.095846075
ENSDARG00000031985	5712.22353	-0.944360843	0.315308748	-2.995035337	0.00274413	0.096766384
ENSDARG00000098021	1012.067635	-1.086808929	0.363485103	-2.989968279	0.002790064	0.098104095
ENSDARG00000062476	3491.343742	-1.214447098	0.406257613	-2.989352225	0.002795696	0.098104095
ENSDARG00000013732	4137.934274	-1.063026733	0.355870165	-2.987119564	0.002816196	0.098122849
ENSDARG00000100803	632.0633844	-1.213528558	0.406283561	-2.986900467	0.002818215	0.098122849
ENSDARG00000071439	764.2050595	-1.103226083	0.369486208	-2.985838333	0.002828021	0.098122849
ENSDARG00000087837	33.69914592	-2.835836714	0.951642179	-2.979940125	0.002883047	0.098949398
ENSDARG00000105612	317.4446447	-1.457176814	0.489246938	-2.978407632	0.002897503	0.099035666
ENSDARG00000100602	12.46942522	-6.501791352	2.184029239	-2.976970837	0.002911117	0.099084747
ENSDARG00000014329	19483.95313	-0.939858945	0.315981157	-2.974414532	0.002935482	0.099084747
ENSDARG00000070786	3235.71402	-1.160777892	0.390489724	-2.972620839	0.00295269	0.099084747
ENSDARG00000017984	16.51306432	-4.680446041	1.574632082	-2.972406122	0.002954756	0.099084747
ENSDARG00000041430	16.82817048	-4.706413261	1.583404522	-2.972337894	0.002955412	0.099084747
ENSDARG00000058562	1219.39307	-1.167315835	0.393099722	-2.9695158	0.002982695	0.099576602
ENSDARG00000107486	10.11496956	-6.197746965	2.088256482	-2.967905053	0.002998369	0.099888714
